Melon fly ¹ÏÊµÓ¬ 
Diamondback moth Ğ¡²Ë¶ê 
Leafminer fly °ßÇ±Ó¬ 
Tarsonemid mite ²à¶àÊ³õÆÏßòı 
Rice whitefly µ¾·ÛÊ­£¨°×·ÛÊ­£© 
Litchi fruit borer ÀóÖ¦µÙÖû³æ 
Litchi stink bug ÀóÖ¦òí 
Eriophyes litchii ÀóÖ¦ñ¨òı 
Sugarcane borer ¸ÊÕáÃø³æ 
Tea green leafhopper ²èĞ¡ÂÌÒ¶²õ 
Apple snail ¸£ÊÙÂİ 
Maize weevil Ğ¡Ïó¼× 
Tobacco whitefly ÑÌ·ÛÊ­ 
rice leaf roller	µ¾×İ¾íÒ¶Ãø
paddy stem maggot	´óÃø
asiatic rice borer	¶ş»¯Ãø
brown plant hopper	µ¾·ÉÊ­
corn borer	ÓñÃ×Ãø
army worm	²İµØÌ°Ò¹¶ê
aphids	ÑÁ³æ
flea beetle	»ÆÇúÌõÌø¼×
beet army worm	Ìğ²ËÒ¹¶ê
Thrips	Êß²Ë¼»Âí
Pieris canidia	²ËÇà³æ
Panonchus citri McGregor	¸Ì½ÛºìÖ©Öë
Phyllocoptes oleiverus ashmead	¸Ì½ÛĞâÖ©Öë
Dacus dorsalis(Hendel)	½ÛĞ¡ÊµÓ¬
Prodenia litura	Ğ±ÎÆÒ¹¶ê
Phyllocnistis citrella Stainton	¸Ì½ÛÇ±Ò¶¶ê
