epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5758,1.2367,1.28684,1.8153,0.75626,0.6951,0.75642,0.40425,1.78975,1.08185,2.57056,0.00199821,0.00199821,0.00199821
2,165.332,1.2385,1.29307,1.81247,0.75365,0.69227,0.74915,0.39367,1.80369,1.10712,2.5859,0.00398544,0.00398544,0.00398544
3,240.228,1.24854,1.30798,1.82169,0.78023,0.65837,0.73429,0.38279,1.80013,1.09961,2.58185,0.0059599,0.0059599,0.0059599
4,314.332,1.27071,1.3415,1.83846,0.71451,0.64308,0.70097,0.35909,1.83031,1.22232,2.61705,0.00792158,0.00792158,0.00792158
5,388.557,1.31973,1.43163,1.88496,0.70515,0.63306,0.68389,0.33806,1.85257,1.21063,2.62977,0.00987049,0.00987049,0.00987049
6,463.754,1.37145,1.53951,1.92989,0.76676,0.59024,0.68146,0.34116,1.88746,1.24695,2.63194,0.00984032,0.00984032,0.00984032
7,537.717,1.39267,1.61043,1.95534,0.7071,0.6261,0.68143,0.33211,1.88869,1.24894,2.63331,0.00980839,0.00980839,0.00980839
8,610.945,1.4072,1.61541,1.96615,0.74061,0.6213,0.6971,0.34849,1.88298,1.21812,2.63686,0.00977645,0.00977645,0.00977645
9,685.005,1.40702,1.62793,1.97209,0.70697,0.58995,0.65745,0.33831,1.84301,1.25955,2.56064,0.00974452,0.00974452,0.00974452
10,759.901,1.40309,1.64275,1.97061,0.7414,0.62331,0.68696,0.33833,1.84491,1.23572,2.59641,0.00971258,0.00971258,0.00971258
11,834.537,1.40737,1.63662,1.97348,0.67125,0.6353,0.6788,0.33915,1.81936,1.23603,2.55943,0.00968065,0.00968065,0.00968065
12,908.744,1.41002,1.63256,1.97554,0.71954,0.59256,0.65862,0.30798,1.88044,1.26726,2.64502,0.00964871,0.00964871,0.00964871
13,982.321,1.41865,1.64366,1.97675,0.6998,0.62935,0.65584,0.31467,1.84774,1.24279,2.59364,0.00961677,0.00961677,0.00961677
14,1056.07,1.40711,1.6118,1.9666,0.65534,0.64003,0.65562,0.32647,1.82325,1.23482,2.59793,0.00958484,0.00958484,0.00958484
15,1131.13,1.41324,1.64023,1.97645,0.68744,0.64194,0.67551,0.34283,1.84848,1.25306,2.5953,0.0095529,0.0095529,0.0095529
16,1207.01,1.41233,1.65672,1.98425,0.69581,0.63916,0.68634,0.33587,1.83464,1.20658,2.58174,0.00952097,0.00952097,0.00952097
17,1282.04,1.41305,1.62728,1.96671,0.75043,0.61157,0.67196,0.33081,1.85773,1.23931,2.58323,0.00948903,0.00948903,0.00948903
18,1356.55,1.41202,1.63146,1.97082,0.67872,0.65452,0.67978,0.32655,1.87049,1.2298,2.59724,0.0094571,0.0094571,0.0094571
19,1431.46,1.42175,1.64038,1.97947,0.73044,0.65368,0.69936,0.3366,1.85451,1.19712,2.57026,0.00942516,0.00942516,0.00942516
20,1505.44,1.40755,1.61604,1.96647,0.7008,0.65614,0.68903,0.34377,1.82102,1.19895,2.54062,0.00939323,0.00939323,0.00939323
21,1646.54,1.40435,1.62298,1.97196,0.74644,0.6334,0.69287,0.32697,1.88313,1.21222,2.60638,0.00936129,0.00936129,0.00936129
22,1787.08,1.40993,1.65568,1.97559,0.71895,0.63611,0.69792,0.34192,1.83574,1.21047,2.5578,0.00932935,0.00932935,0.00932935
23,1928.4,1.42347,1.63466,1.97501,0.66917,0.6266,0.67043,0.32424,1.86913,1.23729,2.58796,0.00929742,0.00929742,0.00929742
24,2070.14,1.4106,1.64566,1.97633,0.74347,0.6183,0.68274,0.33715,1.83834,1.21883,2.55872,0.00926548,0.00926548,0.00926548
25,2211.82,1.41535,1.64408,1.97404,0.75881,0.60907,0.70182,0.34849,1.84365,1.17452,2.57035,0.00923355,0.00923355,0.00923355
26,2353.8,1.41048,1.62398,1.96833,0.71677,0.6393,0.69943,0.35682,1.82532,1.1769,2.54903,0.00920161,0.00920161,0.00920161
