epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5401,1.16389,1.86189,1.54498,0.68711,0.4564,0.50862,0.31673,1.48802,1.98799,2.08787,0.000663283,0.000663283,0.000663283
2,47.1891,1.34955,1.62282,1.66192,0.69589,0.46084,0.50735,0.27786,1.63607,2.08402,2.17156,0.00132337,0.00132337,0.00132337
3,68.4509,1.39321,1.56468,1.69688,0.35824,0.29518,0.25696,0.10009,2.29661,2.3925,2.61876,0.00197685,0.00197685,0.00197685
4,89.7039,1.40794,1.53092,1.70036,0.67299,0.5,0.52919,0.29883,1.60487,1.68766,2.13246,0.0019703,0.0019703,0.0019703
5,111.241,1.38495,1.46514,1.6696,0.75283,0.46988,0.53864,0.33632,1.47029,1.51652,1.94847,0.0019604,0.0019604,0.0019604
6,132.881,1.33606,1.42138,1.65105,0.70394,0.51506,0.55935,0.34814,1.39793,1.44888,1.85983,0.0019505,0.0019505,0.0019505
7,154.93,1.32116,1.40947,1.64072,0.68261,0.50529,0.51955,0.34137,1.38613,1.43581,1.87631,0.0019406,0.0019406,0.0019406
8,176.721,1.2933,1.38987,1.61911,0.82986,0.5142,0.6012,0.39969,1.3504,1.25312,1.79073,0.0019307,0.0019307,0.0019307
9,198.284,1.27641,1.35987,1.60367,0.78345,0.53012,0.60522,0.4319,1.19409,1.16299,1.65151,0.0019208,0.0019208,0.0019208
10,219.922,1.20679,1.28299,1.55107,0.77851,0.53993,0.61953,0.43308,1.25743,1.18728,1.70391,0.0019109,0.0019109,0.0019109
11,241.157,1.19304,1.26917,1.55976,0.86187,0.54501,0.6246,0.44926,1.19992,1.14957,1.61121,0.001901,0.001901,0.001901
12,262.079,1.16954,1.21406,1.53606,0.77107,0.55723,0.60862,0.40002,1.28195,1.24683,1.74343,0.0018911,0.0018911,0.0018911
13,283.506,1.18106,1.21332,1.53929,0.86887,0.53886,0.62548,0.43316,1.2383,1.14819,1.6636,0.0018812,0.0018812,0.0018812
14,305.384,1.16132,1.24725,1.52542,0.81908,0.54545,0.63219,0.43743,1.24486,1.16817,1.71111,0.0018713,0.0018713,0.0018713
15,327.173,1.14935,1.22321,1.52129,0.78451,0.56024,0.62814,0.43418,1.17797,1.12912,1.63918,0.0018614,0.0018614,0.0018614
16,349.246,1.13921,1.16605,1.52091,0.81929,0.5241,0.59353,0.41951,1.15749,1.20971,1.61967,0.0018515,0.0018515,0.0018515
17,371.556,1.14768,1.19677,1.5157,0.82969,0.52711,0.61204,0.41948,1.19709,1.16397,1.6595,0.0018416,0.0018416,0.0018416
18,393.355,1.12445,1.15845,1.50896,0.79457,0.53916,0.61642,0.41028,1.21897,1.17155,1.6519,0.0018317,0.0018317,0.0018317
19,415.345,1.12368,1.17975,1.50701,0.86128,0.55723,0.6312,0.44789,1.134,1.08886,1.58165,0.0018218,0.0018218,0.0018218
20,437.225,1.07395,1.10264,1.44979,0.7971,0.55422,0.60519,0.4215,1.10786,1.09563,1.59806,0.0018119,0.0018119,0.0018119
21,459.284,1.13411,1.17213,1.50535,0.83947,0.55131,0.63758,0.47619,1.07316,1.04969,1.5228,0.001802,0.001802,0.001802
22,481.572,1.08068,1.12397,1.46624,0.77099,0.55772,0.62606,0.46364,1.06787,1.05823,1.51141,0.0017921,0.0017921,0.0017921
23,503.215,1.07088,1.10711,1.47706,0.82886,0.55432,0.64062,0.45759,1.11221,1.07308,1.57928,0.0017822,0.0017822,0.0017822
24,525.11,1.03745,1.09213,1.43786,0.79234,0.54518,0.61954,0.46112,1.07446,1.05354,1.51858,0.0017723,0.0017723,0.0017723
